Forest type,Plot,Collection date,Date of the previous collection,Number of days between collections,Trap,"Trap size, m2",Leaves,Twigs,Fruit,Flower,Seed,Miscellaneous,Remarks,"Leaves, Mg C ha-1 year-1","Twigs, Mg C ha-1 year-1","Fruit, Mg C ha-1 year-1","Flower, Mg C ha-1 year-1","Seed, Mg C ha-1 year-1","Miscellaneous, Mg C ha-1 year-1","Reproductive, total, Mg C ha-1 year-1","Total, Mg C ha-1 year-1"
Logged,B North,15/12/2011,26/11/2011,19,9,0.25,11.33,0,0,0,0,0,,4.35310526315789,0,0,0,0,0,0,4.35310526315789
Logged,B North,15/12/2011,26/11/2011,19,10,0.25,44.36,1.79,0,0.19,0,0,,17.0435789473684,0.687736842105263,0,0.073,0,0,0.073,17.8043157894737
Logged,B North,15/12/2011,26/11/2011,19,11,0.25,6.75,0,0,0,0,0,,2.59342105263158,0,0,0,0,0,0,2.59342105263158
Logged,B North,15/12/2011,26/11/2011,19,12,0.25,9.54,0,0.359999999999999,0,0,4.27,,3.66536842105263,0,0.138315789473684,0,0,1.64057894736842,0.138315789473684,5.44426315789474
Logged,B North,15/12/2011,26/11/2011,19,13,0.25,14.73,2.36,0.130000000000001,0,0,0,,5.65942105263158,0.906736842105263,0.049947368421053,0,0,0,0.049947368421053,6.6161052631579
Logged,B North,15/12/2011,26/11/2011,19,14,0.25,9.52,0.73,0.4,0,0,0.82,,3.65768421052632,0.280473684210526,0.153684210526316,0,0,0.315052631578948,0.153684210526316,4.40689473684211
Logged,B North,15/12/2011,26/11/2011,19,15,0.25,14.73,0.9,0,3.91,0,0,,5.65942105263158,0.345789473684211,0,1.50226315789474,0,0,1.50226315789474,7.50747368421053
Logged,B North,15/12/2011,26/11/2011,19,16,0.25,5,0,0,0,0,0,,1.92105263157895,0,0,0,0,0,0,1.92105263157895
Logged,B North,15/12/2011,26/11/2011,19,17,0.25,8.85,0,0,0,0,0,,3.40026315789474,0,0,0,0,0,0,3.40026315789474
Logged,B North,15/12/2011,26/11/2011,19,18,0.25,10.56,0,0,0,0,0,,4.05726315789474,0,0,0,0,0,0,4.05726315789474
Logged,B North,15/12/2011,26/11/2011,19,19,0.25,8.85,1.48,0.029999999999999,0,0,0,,3.40026315789474,0.568631578947369,0.011526315789474,0,0,0,0.011526315789474,3.98042105263158
Logged,B North,15/12/2011,26/11/2011,19,20,0.25,7.97,1.06,0,0,0,0,,3.06215789473684,0.407263157894737,0,0,0,0,0,3.46942105263158
Logged,B North,15/12/2011,26/11/2011,19,21,0.25,7.82,0.119999999999999,0,0,0,0,,3.00452631578947,0.046105263157895,0,0,0,0,0,3.05063157894737
